"id","seed","n_actors","n_states","seq_length","max_abs_delta","raw_centrality_max_abs_delta","default_diffusion_max_abs_delta","status","OutStrength","InStrength","ClosenessIn","ClosenessOut","Closeness","Betweenness","BetweennessRSP","Diffusion","Clustering"
16,142722,60,3,25,0,0,0,"PASS",0,0,0,0,0,0,0,0,0
17,538340,20,7,10,6.93889390390723e-18,6.93889390390723e-18,0,"PASS",0,0,6.93889390390723e-18,0,6.93889390390723e-18,0,0,0,0
18,67794,20,8,25,6.93889390390723e-18,6.93889390390723e-18,0,"PASS",0,0,3.46944695195361e-18,3.46944695195361e-18,6.93889390390723e-18,0,0,0,0
19,479498,60,7,30,6.93889390390723e-18,6.93889390390723e-18,0,"PASS",0,0,6.93889390390723e-18,3.46944695195361e-18,6.93889390390723e-18,0,0,0,0
20,666291,60,6,16,6.93889390390723e-18,6.93889390390723e-18,0,"PASS",0,0,6.93889390390723e-18,6.93889390390723e-18,6.93889390390723e-18,0,0,0,0
21,79733,15,5,10,6.93889390390723e-18,6.93889390390723e-18,0,"PASS",0,0,0,6.93889390390723e-18,0,0,0,0,0
22,489212,30,7,25,6.93889390390723e-18,6.93889390390723e-18,0,"PASS",0,0,3.46944695195361e-18,3.46944695195361e-18,6.93889390390723e-18,0,0,0,0
23,898994,20,6,20,1.38777878078145e-17,1.38777878078145e-17,0,"PASS",0,0,6.93889390390723e-18,6.93889390390723e-18,1.38777878078145e-17,0,0,0,0
24,607770,30,6,12,6.93889390390723e-18,6.93889390390723e-18,0,"PASS",0,0,6.93889390390723e-18,6.93889390390723e-18,6.93889390390723e-18,0,0,0,0
25,885919,45,5,8,1.38777878078145e-17,1.38777878078145e-17,0,"PASS",0,0,0,1.38777878078145e-17,0,0,0,0,0
26,970145,60,7,20,1.04083408558608e-17,1.04083408558608e-17,0,"PASS",0,0,6.93889390390723e-18,3.46944695195361e-18,1.04083408558608e-17,0,0,0,0
27,691484,45,3,16,0,0,0,"PASS",0,0,0,0,0,0,0,0,0
28,121976,60,6,25,6.93889390390723e-18,6.93889390390723e-18,0,"PASS",0,0,0,6.93889390390723e-18,6.93889390390723e-18,0,0,0,0
29,727946,20,4,10,1.38777878078145e-17,1.38777878078145e-17,0,"PASS",0,0,1.38777878078145e-17,0,0,0,0,0,0
30,284111,15,8,25,6.93889390390723e-18,6.93889390390723e-18,0,"PASS",0,0,0,3.46944695195361e-18,6.93889390390723e-18,0,0,0,0
31,869082,30,3,8,0,0,0,"PASS",0,0,0,0,0,0,0,0,0
32,552681,45,4,10,1.38777878078145e-17,1.38777878078145e-17,0,"PASS",0,0,0,1.38777878078145e-17,1.38777878078145e-17,0,0,0,0
33,507180,30,7,12,1.04083408558608e-17,1.04083408558608e-17,0,"PASS",0,0,3.46944695195361e-18,3.46944695195361e-18,1.04083408558608e-17,0,0,0,0
34,972462,20,4,25,1.38777878078145e-17,1.38777878078145e-17,0,"PASS",0,0,0,1.38777878078145e-17,0,0,0,0,0
35,436217,30,7,10,6.93889390390723e-18,6.93889390390723e-18,0,"PASS",0,0,3.46944695195361e-18,6.93889390390723e-18,6.93889390390723e-18,0,0,0,0
36,408269,20,5,25,6.93889390390723e-18,6.93889390390723e-18,0,"PASS",0,0,6.93889390390723e-18,6.93889390390723e-18,6.93889390390723e-18,0,0,0,0
37,980687,45,7,25,3.46944695195361e-18,3.46944695195361e-18,0,"PASS",0,0,3.46944695195361e-18,3.46944695195361e-18,3.46944695195361e-18,0,0,0,0
38,192032,30,5,16,1.38777878078145e-17,1.38777878078145e-17,0,"PASS",0,0,0,1.38777878078145e-17,0,0,0,0,0
39,112592,60,3,12,2.77555756156289e-17,2.77555756156289e-17,0,"PASS",0,0,2.77555756156289e-17,0,0,0,0,0,0
40,491321,20,3,25,2.77555756156289e-17,2.77555756156289e-17,0,"PASS",0,0,0,2.77555756156289e-17,0,0,0,0,0
41,640418,30,5,20,6.93889390390723e-18,6.93889390390723e-18,0,"PASS",0,0,6.93889390390723e-18,0,0,0,0,0,0
42,420384,30,5,16,1.38777878078145e-17,1.38777878078145e-17,0,"PASS",0,0,0,1.38777878078145e-17,0,0,0,0,0
43,429013,30,4,12,2.77555756156289e-17,2.77555756156289e-17,0,"PASS",0,0,0,0,2.77555756156289e-17,0,0,0,0
44,540733,45,4,10,1.38777878078145e-17,1.38777878078145e-17,0,"PASS",0,0,1.38777878078145e-17,1.38777878078145e-17,1.38777878078145e-17,0,0,0,0
45,767201,45,3,10,0,0,0,"PASS",0,0,0,0,0,0,0,0,0
46,638883,20,7,25,6.93889390390723e-18,6.93889390390723e-18,0,"PASS",0,0,3.46944695195361e-18,6.93889390390723e-18,6.93889390390723e-18,0,0,0,0
47,877395,20,3,25,0,0,0,"PASS",0,0,0,0,0,0,0,0,0
48,164637,60,3,12,2.77555756156289e-17,2.77555756156289e-17,0,"PASS",0,0,0,2.77555756156289e-17,0,0,0,0,0
49,741810,45,6,8,6.93889390390723e-18,6.93889390390723e-18,0,"PASS",0,0,6.93889390390723e-18,0,6.93889390390723e-18,0,0,0,0
50,279293,30,4,12,0,0,0,"PASS",0,0,0,0,0,0,0,0,0
